hour,global_hour_avg
0,2.665714285714286
1,2.117948717948718
2,0.5900497512437811
3,0.19433198380566802
4,0.7768595041322314
5,3.7358490566037736
6,3.397387044093631
7,2.7604584527220632
8,2.866974595842956
9,2.4428086070215174
10,2.3095238095238093
11,2.84253341080767
12,2.8410786001147446
13,2.8633316142341414
14,2.886763965777554
15,2.7159199237368923
16,2.738007380073801
17,2.568191015783084
18,2.7472067039106145
19,2.92532637075718
20,2.9848073792729246
21,2.534952606635071
22,2.149234693877551
23,2.473378509196515
